subject_id,property_id,object_id,reference_uri,reference_supporting_text,reference_date,property_label,property_description,property_uri
Xenbase:XB-GENE-5875739,RO:HOM0000017,FlyBase:FBgn0260450,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000017
MGI:103013,RO:0002200,HP:0011675,https://www.ncbi.nlm.nih.gov/pubmed/21832054,This edge comes from the Monarch Knowledge Graph 2019.,NA,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
RGD:3729,RO:HOM0000020,ENSEMBL:ENSSSCG00000009203,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in 1 to 1 orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000020
HGNC:11168,RO:HOM0000020,ENSEMBL:ENSACAG00000009289,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in 1 to 1 orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000020
Xenbase:XB-GENE-954519,RO:HOM0000020,ENSEMBL:ENSOANG00000004085,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in 1 to 1 orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000020
RGD:1309318,RO:HOM0000017,WormBase:WBGene00000070,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000017
Xenbase:XB-GENE-5889689,RO:HOM0000017,FlyBase:FBgn0025866,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000017
ENSEMBL:ENSOANG00000008244,RO:HOM0000017,ZFIN:ZDB-GENE-060421-5204,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000017
MGI:107432,RO:HOM0000020,RGD:621750,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in 1 to 1 orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000020
MGI:1321395,RO:0002200,MP:0004564,https://www.ncbi.nlm.nih.gov/pubmed/12208849,This edge comes from the Monarch Knowledge Graph 2019.,NA,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
ENSEMBL:ENSBTAG00000010230,RO:HOM0000017,MGI:88263,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000017
ZFIN:ZDB-GENE-060421-5204,RO:HOM0000017,ENSEMBL:ENSMMUG00000003473,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000017
WormBase:WBGene00001187,RO:HOM0000017,MGI:88294,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000017
FlyBase:FBgn0003301,RO:HOM0000020,ENSEMBL:ENSMODG00000010195,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in 1 to 1 orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000020
ENSEMBL:ENSACAG00000007566,RO:HOM0000020,RGD:1311525,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in 1 to 1 orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000020
ENSEMBL:ENSBTAG00000008946,RO:HOM0000020,ENSEMBL:ENSFCAG00000005056,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in 1 to 1 orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000020
MGI:1313258,RO:0002200,MP:0031026,https://www.ncbi.nlm.nih.gov/pubmed/20190759,This edge comes from the Monarch Knowledge Graph 2019.,NA,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
Xenbase:XB-GENE-5889689,RO:HOM0000017,ZFIN:ZDB-GENE-131120-116,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000017
MGI:2451073,RO:0002200,MP:0002427,https://www.ncbi.nlm.nih.gov/pubmed/24161523,This edge comes from the Monarch Knowledge Graph 2019.,NA,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
MGI:1857113,RO:0002200,HP:0003251,https://www.ncbi.nlm.nih.gov/pubmed/17478551,This edge comes from the Monarch Knowledge Graph 2019.,NA,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
WormBase:WBGene00007167,RO:HOM0000020,dictyBase:DDB_G0280253,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in 1 to 1 orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000020
ENSEMBL:ENSSSCG00000008008,RO:HOM0000020,WormBase:WBGene00000500,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in 1 to 1 orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000020
ENSEMBL:ENSBTAG00000044126,RO:HOM0000020,ENSEMBL:ENSOANG00000037104,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in 1 to 1 orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000020
ENSEMBL:ENSBTAG00000002448,RO:HOM0000020,ENSEMBL:ENSGALG00000015248,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in 1 to 1 orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000020
ClinVarVariant:584110,GENO:0000840,MONDO:0010679,"https://www.ncbi.nlm.nih.gov/pubmed/23914114,10480348,17259292",This edge comes from the Monarch Knowledge Graph 2019.,NA,pathogenic_for_condition,NA,http://purl.obolibrary.org/obo/GENO_0000840
ENSEMBL:ENSPTRG00000030902,RO:HOM0000017,RGD:620455,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000017
HGNC:2987,RO:HOM0000017,FlyBase:CG10379,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000017
dictyBase:DDB_G0269200,RO:HOM0000017,ZFIN:ZDB-GENE-050522-279,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000017
ClinVarVariant:947912,GENO:0000841,MONDO:0010679,https://www.ncbi.nlm.nih.gov/pubmed/23536893,This edge comes from the Monarch Knowledge Graph 2019.,NA,likely_pathogenic_for_condition,NA,http://purl.obolibrary.org/obo/GENO_0000841
ENSEMBL:ENSFCAG00000018879,RO:HOM0000017,FlyBase:FBgn0025866,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000017
ClinVarVariant:831164,GENO:0000840,MONDO:0010679,"https://www.ncbi.nlm.nih.gov/pubmed/24099565,15684864",This edge comes from the Monarch Knowledge Graph 2019.,NA,pathogenic_for_condition,NA,http://purl.obolibrary.org/obo/GENO_0000840
ENSEMBL:ENSBTAG00000016097,RO:HOM0000020,MGI:1859639,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in 1 to 1 orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000020
ClinVarVariant:639867,GENO:0000418,HGNC:2928,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,has_affected_feature,NA,http://purl.obolibrary.org/obo/GENO_0000418
MGI:1917979,RO:HOM0000020,FlyBase:FBgn0261555,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in 1 to 1 orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000020
HGNC:1480,RO:0002200,HP:0003198,http://purl.obolibrary.org/obo/MONDO_0029133,This edge comes from the Monarch Knowledge Graph 2019.,NA,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
ZFIN:ZDB-FISH-150901-14025,RO:0002200,ZP:0011805,"https://www.ncbi.nlm.nih.gov/pubmed/21402949,26536238",This edge comes from the Monarch Knowledge Graph 2019.,NA,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
ENSEMBL:ENSFCAG00000033157,RO:HOM0000020,ENSEMBL:ENSECAG00000000087,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in 1 to 1 orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000020
ClinVarVariant:803948,GENO:0000418,HGNC:2928,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,has_affected_feature,NA,http://purl.obolibrary.org/obo/GENO_0000418
ENSEMBL:ENSACAG00000011527,RO:HOM0000020,Xenbase:XB-GENE-949779,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in 1 to 1 orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000020
ENSEMBL:ENSECAG00000023813,RO:HOM0000020,ENSEMBL:ENSOANG00000039339,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in 1 to 1 orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000020
FlyBase:FBgn0012051,RO:HOM0000017,ENSEMBL:ENSSSCG00000002967,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000017
ENSEMBL:ENSSSCG00000020986,RO:HOM0000017,ZFIN:ZDB-GENE-131120-116,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000017
ClinVarVariant:803902,GENO:0000841,MONDO:0010679,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,likely_pathogenic_for_condition,NA,http://purl.obolibrary.org/obo/GENO_0000841
ZFIN:ZDB-GENE-040426-1197,RO:HOM0000020,ENSEMBL:ENSOANG00000004993,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in 1 to 1 orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000020
MGI:1856328,RO:0002200,MP:0002841,"https://www.ncbi.nlm.nih.gov/pubmed/17668421,26566673,21893021",This edge comes from the Monarch Knowledge Graph 2019.,NA,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
ENSEMBL:ENSGALG00000005332,RO:HOM0000020,RGD:70973,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in 1 to 1 orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000020
ENSEMBL:ENSECAG00000011067,RO:HOM0000020,ENSEMBL:ENSFCAG00000018326,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in 1 to 1 orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000020
ENSEMBL:ENSBTAG00000015764,RO:HOM0000020,ENSEMBL:ENSECAG00000018032,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in 1 to 1 orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000020
ENSEMBL:ENSBTAG00000047491,RO:HOM0000020,ENSEMBL:ENSMMUG00000017414,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in 1 to 1 orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000020
ENSEMBL:ENSCAFG00000005849,RO:HOM0000020,HGNC:19166,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in 1 to 1 orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000020
Xenbase:XB-GENE-992148,RO:HOM0000020,ENSEMBL:ENSMODG00000007852,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in 1 to 1 orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000020
ClinVarVariant:217174,GENO:0000840,MONDO:0010679,https://www.ncbi.nlm.nih.gov/pubmed/16049303,This edge comes from the Monarch Knowledge Graph 2019.,NA,pathogenic_for_condition,NA,http://purl.obolibrary.org/obo/GENO_0000840
MGI:88294,RO:0002200,HP:0012379,"https://www.ncbi.nlm.nih.gov/pubmed/26965373,8666981,7286424",This edge comes from the Monarch Knowledge Graph 2019.,NA,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
ENSEMBL:ENSACAG00000016579,RO:HOM0000020,ENSEMBL:ENSSSCG00000012999,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in 1 to 1 orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000020
dictyBase:DDB_G0269200,RO:HOM0000017,ENSEMBL:ENSGALG00000010186,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000017
HGNC:1479,RO:HOM0000017,EnsemblGenome:AT1G55350,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000017
HGNC:239,RO:HOM0000020,ENSEMBL:ENSFCAG00000006436,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in 1 to 1 orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000020
ENSEMBL:ENSSSCG00000008008,RO:HOM0000020,ENSEMBL:ENSGALG00000041432,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in 1 to 1 orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000020
ENSEMBL:ENSMODG00000050021,RO:HOM0000020,RGD:2488,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in 1 to 1 orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000020
MGI:2148539,RO:0002200,HP:0001288,https://www.ncbi.nlm.nih.gov/pubmed/9288752,This edge comes from the Monarch Knowledge Graph 2019.,NA,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
MGI:88294,RO:0002200,MP:0030287,https://www.ncbi.nlm.nih.gov/pubmed/14300095,This edge comes from the Monarch Knowledge Graph 2019.,NA,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
MGI:97805,RO:0002200,MP:0030969,https://www.ncbi.nlm.nih.gov/pubmed/16845389,This edge comes from the Monarch Knowledge Graph 2019.,NA,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
ENSEMBL:ENSSSCG00000007469,RO:HOM0000020,ZFIN:ZDB-GENE-980605-23,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in 1 to 1 orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000020
dbSNP:rs754118,RO:0003304,MONDO:0010679,https://www.ncbi.nlm.nih.gov/pubmed/30014611,This edge comes from the Monarch Knowledge Graph 2019.,NA,contributes to condition,NA,http://purl.obolibrary.org/obo/RO_0003304
ENSEMBL:ENSACAG00000008475,RO:HOM0000017,WormBase:WBGene00006062,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000017
ZFIN:ZDB-GENE-080108-5,RO:0002200,ZP:0017651,https://www.ncbi.nlm.nih.gov/pubmed/30089513,This edge comes from the Monarch Knowledge Graph 2019.,NA,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
SGD:S000003449,RO:0002200,MONARCH:APO_0000110APO_0000003,"https://www.ncbi.nlm.nih.gov/pubmed/18622397,23103169",This edge comes from the Monarch Knowledge Graph 2019.,NA,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
MGI:103013,RO:HOM0000020,HGNC:1390,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in 1 to 1 orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000020
ZFIN:ZDB-GENE-110411-137,RO:HOM0000020,ENSEMBL:ENSACAG00000011238,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in 1 to 1 orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000020
ZFIN:ZDB-GENE-030131-2963,RO:HOM0000020,RGD:1306167,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in 1 to 1 orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000020
MGI:107956,RO:0002200,MP:0008788,"https://www.ncbi.nlm.nih.gov/pubmed/10967099,11344090,12781968,12767889",This edge comes from the Monarch Knowledge Graph 2019.,NA,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
ENSEMBL:ENSCAFG00000003214,RO:HOM0000020,RGD:1311276,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in 1 to 1 orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000020
HGNC:1390,RO:0002200,HP:0005280,http://purl.obolibrary.org/obo/MONDO_0010979,This edge comes from the Monarch Knowledge Graph 2019.,NA,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
MGI:1329005,RO:HOM0000017,RGD:620455,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000017
SGD:S000003449,RO:0002200,MONARCH:APO_0000312APO_0000003,https://www.ncbi.nlm.nih.gov/pubmed/21814286,This edge comes from the Monarch Knowledge Graph 2019.,NA,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
ENSEMBL:ENSMMUG00000020418,RO:HOM0000020,ENSEMBL:ENSSSCG00000015355,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in 1 to 1 orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000020
MGI:5697652,RO:0002200,HP:0003202,https://www.ncbi.nlm.nih.gov/pubmed/26566673,This edge comes from the Monarch Knowledge Graph 2019.,NA,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
ENSEMBL:ENSPTRG00000048164,RO:HOM0000017,WormBase:WBGene00000542,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000017
ENSEMBL:ENSSSCG00000036418,RO:HOM0000017,WormBase:WBGene00003566,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000017
HGNC:2928,RO:0002200,HP:0001256,"http://purl.obolibrary.org/obo/MONDO_0010679|https://www.ncbi.nlm.nih.gov/pubmed/21969337,21399986,26740235,26968818,19959795,25244321,19602481,23756440,8840119,26081009,7668256,27708273,29604111,17259292,19530190,19760747,29973226,16834926,15643612,17435279,27363342,19206170,17880784,27930565,19783145,17145200,11257468,10094565,21396098,21520333,19409785,9067763,7951253,25007885,15351422,12632325,19367636,25972034,25612904,23536893,21972111,10909857,16770791,17041906,21515508,16049303,8784808,17952667,10320864,7611292,23453023,18653336,17253928,8301652,12398835,10533061,15723292,19074751,28526893,9298822,24349052,11710958,22092019,19793655,19230662,20485447,26911353,27593222,8281150,19937601,20098710,9544849,27750387,11524473,18652600",This edge comes from the Monarch Knowledge Graph 2019.,NA,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
Xenbase:XB-GENE-1013041,RO:HOM0000020,ENSEMBL:ENSSSCG00000005994,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in 1 to 1 orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000020
RGD:620085,RO:HOM0000017,FlyBase:FBgn0260450,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000017
ZFIN:ZDB-GENE-060421-5204,RO:HOM0000017,ENSEMBL:ENSPTRG00000011802,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000017
NCBIGene:100495980,RO:HOM0000020,ENSEMBL:ENSCAFG00000005681,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in 1 to 1 orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000020
Coriell:GM04619,RO:0003301,MONDO:0010679,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,has role in modeling,NA,http://purl.obolibrary.org/obo/RO_0003301
HGNC:9642,RO:HOM0000017,ZFIN:ZDB-GENE-980605-23,http://zfin.org/ZDB-PUB-030905-1|https://www.ncbi.nlm.nih.gov/pubmed/20838449,This edge comes from the Monarch Knowledge Graph 2019.,NA,in orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000017
MGI:94909,RO:0002200,MP:0001921,https://www.ncbi.nlm.nih.gov/pubmed/8099842,This edge comes from the Monarch Knowledge Graph 2019.,NA,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
ZFIN:ZDB-GENE-111017-2,RO:0002200,ZP:0006778,https://www.ncbi.nlm.nih.gov/pubmed/21901110,This edge comes from the Monarch Knowledge Graph 2019.,NA,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
ENSEMBL:ENSCAFG00000023592,RO:HOM0000017,WormBase:WBGene00003566,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000017
HGNC:1476,RO:0002200,HP:0000639,https://www.ncbi.nlm.nih.gov/pubmed/27153400,This edge comes from the Monarch Knowledge Graph 2019.,NA,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
WormBase:WBGene00001131,RO:HOM0000017,FlyBase:FBgn0015926,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000017
ClinVarVariant:665027,GENO:0000840,MONDO:0010679,"https://www.ncbi.nlm.nih.gov/pubmed/20944443,18752307,22090376,18683213,24217213,15723292,9800909",This edge comes from the Monarch Knowledge Graph 2019.,NA,pathogenic_for_condition,NA,http://purl.obolibrary.org/obo/GENO_0000840
MGI:1859639,RO:0002200,MP:0008515,https://www.ncbi.nlm.nih.gov/pubmed/24466230,This edge comes from the Monarch Knowledge Graph 2019.,NA,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
ZFIN:ZDB-GENE-131120-116,RO:HOM0000017,ENSEMBL:ENSSSCG00000024781,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000017
